sensor_id , event_id
111919 , 1262
71124 , 2580
100283 , 1683
70323 , 2580
100281 , 1683
100280 , 1683
100279 , 1683
81072 , 612
81073 , 612
11106 , 1262
100278 , 1683
71122 , 2580
80282 , 1496
80279 , 1496
111972 , 1891
100275 , 1683
111973 , 1891
80278 , 1496
141564 , 1
141566 , 1
80276 , 1496
61054 , 1683
61056 , 1683
71120 , 2580
41032 , 2580
151502 , 1497
61411 , 2580
70616 , 2580
21503 , 1891
81515 , 612
41035 , 2580
62160 , 1683
41037 , 2580
81514 , 612
61313 , 1683
81512 , 612
81506 , 2580
62161 , 1683
61311 , 1683
61412 , 2580
151468 , 1393
151467 , 1393
81503 , 2580
172125 , 1497
110875 , 1891
81501 , 2580
101351 , 1683
61306 , 1683
11805 , 1891
152051 , 1683
11807 , 1891
81499 , 2580
61304 , 1683
70612 , 2580
152052 , 1683
10830 , 3010
10828 , 3010
101349 , 1683
152066 , 1683
151406 , 1683
152069 , 1683
151402 , 1683
81488 , 2580
81486 , 2580
152082 , 1683
10814 , 1891
152084 , 1683
81481 , 2580
10810 , 1891
152087 , 1683
81478 , 2580
10806 , 1891
41137 , 2580
152091 , 1683
41141 , 2580
152093 , 1683
61291 , 1547
10804 , 1891
60238 , 2580
41146 , 2580
152096 , 1683
10801 , 1891
152099 , 1683
61289 , 1547
172039 , 1497
61431 , 1547
70092 , 2580
90662 , 1547
131305 , 1891
70600 , 2580
172018 , 1497
61432 , 1547
11144 , 1891
151272 , 1683
151269 , 1683
151266 , 1683
110951 , 1891
151263 , 1683
131306 , 1891
21501 , 1891
110953 , 1891
111524 , 1891
90627 , 1547
152174 , 1497
152175 , 1497
111486 , 1262
62334 , 1393
62332 , 1393
42100 , 1891
42098 , 1891
42071 , 1891
42068 , 1891
70512 , 2580
71118 , 2580
41895 , 2580
41894 , 2580
41818 , 2580
61139 , 1683
150458 , 1393
150460 , 1393
61152 , 1547
150461 , 1393
61153 , 1547
61154 , 1547
100273 , 1683
100374 , 1683
150594 , 1393
150596 , 1393
150598 , 1393
150599 , 1393
100272 , 1683
41564 , 2580
61215 , 1393
111492 , 1262
41398 , 2580
41397 , 2580
41395 , 2580
41393 , 2580
41390 , 2580
41389 , 2580
41386 , 1891
41384 , 1891
41381 , 1891
41380 , 1891
81265 , 1891
151046 , 1393
151048 , 1393
81267 , 1891
151058 , 1683
151061 , 1683
151063 , 1683
151065 , 1683
151081 , 1683
151083 , 1683
151085 , 1683
151088 , 1683
70514 , 2580
62203 , 1702
62202 , 1702
151132 , 1683
151133 , 1683
151135 , 1683
151137 , 1683
151139 , 1683
151142 , 1683
151143 , 1683
61257 , 1683
81300 , 612
81301 , 612
41281 , 2580
41275 , 2580
70986 , 2580
60241 , 2580
152177 , 1497
152178 , 1497
60440 , 1547
111553 , 1262
100376 , 1683
170021 , 1262
71236 , 2580
80534 , 1891
170026 , 1262
170028 , 1262
80512 , 1891
80446 , 612
60236 , 2580
70578 , 2580
70300 , 2580
111557 , 1262
170053 , 1262
172036 , 1497
90631 , 1547
170056 , 1262
170058 , 1262
10628 , 1262
10626 , 1262
10623 , 1262
80511 , 1891
10620 , 1262
111707 , 1262
70093 , 2580
10618 , 1262
10615 , 1262
90688 , 1547
130098 , 1262
10066 , 1891
111519 , 1891
40386 , 2580
90692 , 1547
80535 , 1891
20582 , 1891
80510 , 1891
172112 , 2946
62048 , 1702
62045 , 1702
170151 , 1891
170152 , 1891
170153 , 1891
170154 , 1891
170155 , 1891
170157 , 1891
170158 , 1891
170160 , 1891
170161 , 1891
170163 , 1891
170165 , 1891
40222 , 2580
170222 , 1891
170224 , 1891
170226 , 1891
170227 , 1891
61513 , 1683
10023 , 1891
170341 , 1262
170342 , 1262
170347 , 1262
170351 , 1262
60457 , 1547
130100 , 1262
60280 , 1683
60459 , 1547
20579 , 1891
90693 , 1547
80509 , 1891
172109 , 2946
60462 , 1547
80445 , 612
172105 , 1497
80536 , 1891
10068 , 1891
20578 , 1891
111515 , 1891
170958 , 1262
60463 , 1547
172394 , 1497
172392 , 1497
20576 , 1891
172388 , 1497
60466 , 1683
20574 , 1891
111514 , 1891
70297 , 2580
172104 , 1497
110641 , 1891
60470 , 1683
51920 , 1891
110642 , 1891
170959 , 1262
80537 , 1891
20571 , 1891
51919 , 1891
60471 , 1683
170413 , 1262
170415 , 1262
170417 , 1891
170419 , 1891
170420 , 1891
61947 , 1683
61562 , 1683
61946 , 1683
31496 , 1683
31495 , 1683
